9/3/2021," '""kerempeng bgt""\n""kaya tengkorak tau km""\n""tipis bgt badannya kaya triplek""\n""kurang gizi ya""\n""ga dirawat ortunya ya""\n""coba ke dokter, cacingan tuh kamu""\n""jelek badan km ga ada dagingnya""\n\ndan ini semua aku denger di rl. jd kalau ada yg bilang jd kurus banyak benefitnya, pikir lagi. https://t.co/Zc4LjXXBVX' ", 4 (0.439)  1 (0.2436)  0 (0.2357)  7 (0.0801) ,4,"stunting, turun, angka, tangan, balita, indonesia, laku, program, covid, kabupaten","['kerempeng', 'kaya', 'tengkorak', 'km', 'tipis', 'badan', 'kaya', 'triplek', 'kurang', 'gizi', 'rawat', 'ortunya', 'coba', 'dokter', 'cacing', 'jelek', 'badan', 'km', 'daging', 'semua', 'denger', 'rl', 'kurus', 'banyak', 'benefitnya', 'pikir']",-1
9/3/2021," 'mereka bilang :\ncacingan, kurang gizi, tulang idup, badan cuman tulang doang, tepos, badan gaada isinya, gada bentuknya, kotak, kayu, cibi kili kimi ginditin pisti libih cintik diliitnyi dan masih banyak haha😀😃😃 https://t.co/0IfpqPQmAP' ", 1 (0.9989) ,1,"stunting, data, rembuk, angka, program, siap, negara, hasil, sosial, harap","['cacing', 'kurang', 'gizi', 'tulang', 'idup', 'badan', 'cuman', 'tulang', 'doang', 'tepos', 'badan', 'gaada', 'isi', 'gada', 'bentuk', 'kotak', 'kayu', 'cibi', 'kili', 'kim', 'ginditin', 'pisti', 'libih', 'cintik', 'diliitnyi', 'banyak', 'haha']",-1
9/3/2021," 'Kata-kata seng menakutkan bagiku adalah ""awak e mbok yo dilemok ne, delok en to kwi nggilani wes koyok klambi di hanger, koyok ora diopen, koyok kekurangan gizi, koyok balblablabla... etc"" 😣😣😣' ", 1 (0.9373)  3 (0.0619) ,1,"gizi, kurang, anak, makan, buruk, banyak, akibat, buat, susu, bawah","['kata', 'kata', 'seng', 'takut', 'bagi', 'awak', 'mbok', 'yo', 'lok', 'ne', 'dok', 'en', 'to', 'kwi', 'nggilani', 'wes', 'koyok', 'klambi', 'hanger', 'koyok', 'ora', 'open', 'koyok', 'kurang', 'gizi', 'koyok', 'balblablabla', 'etc']",-1
9/3/2021," '@liloier @AREAJULID Anjir, gue aja gocap cuma cukup seminggu, itupun buat sendiri. Apa gak kekurangan gizi kalo uang dapur gocap sebulan?' ", 1 (0.9977) ,1,"gizi, kurang, anak, makan, buruk, banyak, akibat, buat, susu, bawah","['anjir', 'gocap', 'cukup', 'minggu', 'itu', 'buat', 'sendiri', 'kurang', 'gizi', 'uang', 'dapur', 'gocap', 'bulan']",-1
9/3/2021," '@sbyfess mon maap,anak baru sebulan mamanya suruh diet. ntar kalo anaknya stunting mamanya yg di salah in juga\ndi kira menyusui ga butuh banyak makan?ga butuh banyak gizi?\nyailah sa ae bapak ini kalo ngomong😕' ", 1 (0.9989) ,1,"stunting, data, rembuk, angka, program, siap, negara, hasil, sosial, harap","['mon', 'maap', 'anak', 'baru', 'bulan', 'mama', 'suruh', 'diet', 'ntar', 'anak', 'stunting', 'mama', 'salah', 'in', 'jugadi', 'kira', 'susu', 'butuh', 'banyak', 'makan', 'butuh', 'banyak', 'gizi', 'yailah', 'sa', 'ae', 'bapak', 'ngomong']",-1
9/3/2021, '@convomf 43 tinggi 167/8 selalu dikatain kurang gizi 👍🏻🙂💔💔💔' , 1 (0.994) ,1,"stunting, turun, angka, tangan, balita, indonesia, laku, program, covid, kabupaten","['tinggi', 'selalu', 'dikatain', 'kurang', 'gizi']",-1
9/3/2021, '@AREAJULID Banyak bacot tp ngga ngapa2in ngga guba bngt jd suami. Emng ga tau kalo ibu menyusui ngga boleh diet ?? Kalo anaknya kurang gizi gimana ? Bapak yg kaya gini nih harusnya ngga usah di produksi di indonesia lagi' , 1 (0.8819)  2 (0.1173) ,1,"stunting, upaya, pangan, bantu, giat, udah, konvergensi, kader, latih, kpm","['banyak', 'bacot', 'ngga', 'ngapain', 'ngga', 'guba', 'bn', 'suami', 'emng', 'ibu', 'susu', 'ngga', 'diet', 'anak', 'kurang', 'gizi', 'gimana', 'bapak', 'kaya', 'harus', 'ngga', 'usah', 'produksi', 'indonesia']",-1
9/3/2021, '@convomf nder itu kurang 😭 temen lu pada burem apa anoreksia. gua yang 167/50 dikata kekurangan gizi😭' , 1 (0.9957) ,1,"stunting, turun, angka, tangan, balita, indonesia, laku, program, covid, kabupaten","['kurang', 'temen', 'burem', 'anoreksia', 'kata', 'kurang', 'gizi']",-1
9/3/2021," 'guru gue lg ngisi data, tinggi 162 berat 40, cita""nya kosong. kamu kayanya harus jadi ahli gizi, kekurangan gizi bgt' ", 1 (0.9125)  2 (0.0861) ,1,"stunting, data, rembuk, angka, program, siap, negara, hasil, sosial, harap","['guru', 'lg', 'ngisi', 'data', 'tinggi', 'berat', 'cita', 'kosong', 'kaya', 'jadi', 'ahli', 'gizi', 'kurang', 'gizi']",-1
9/3/2021," 'wkkwkwkwkw ketawa aja dah gue, 22 tahun idup sbg orang kurus dah kenyang dikatain dari cacingan, gizi buruk, tepos, kaya lidi, kena angin aja terbang lu, etc. Skinny shammint sama buruknya kek fatshamming, gausah mewajarkan. https://t.co/otCQSwpeGy' ", 1 (0.9988) ,1,"stunting, upaya, pangan, bantu, giat, udah, konvergensi, kader, latih, kpm","['wkkwkwkwkw', 'ketawa', 'tahun', 'idup', 'sbg', 'orang', 'kurus', 'kenyang', 'dikatain', 'cacing', 'gizi', 'buruk', 'tepos', 'kaya', 'lidi', 'kena', 'angin', 'terbang', 'etc', 'skinny', 'shammint', 'sama', 'buruk', 'fatshamming', 'gausah', 'wajar']",-1
